caused_node,causing_node,fevd_share,horizon,method,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence,feature_tier,provenance_claim_allowed,statistical_claim_allowed,paper_claim_allowed,claim_strength,event_id,fevd_share_mean,fevd_share_max,fevd_share_std,n_windows
usdt_binance,usdc_coinbase,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_coinbase and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive,usdc_svb_2023,0.2685424790393836,0.3842835983353318,0.08606614818901451,5
usdt_binance,usdc_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive,usdc_svb_2023,0.22471240425301486,0.3521654293243328,0.13200159119021196,5
usdc_binance,usdt_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive,usdc_svb_2023,0.19167344474117962,0.35216542932433226,0.17661295845590264,5
curve_3pool,usdc_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_binance to curve_3pool.,B,true,false,false,suggestive,usdc_svb_2023,0.1542948600822037,0.26928277534535394,0.09517281942332324,5
curve_3pool,usdt_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive,usdc_svb_2023,0.12050841955442067,0.2692827753453539,0.13073658367016694,5
usdc_coinbase,usdc_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdc_coinbase (Tier B proxy data).,B,true,false,false,descriptive,usdc_svb_2023,0.08400337998533944,0.2435640870362116,0.0926740440039439,5
usdc_coinbase,usdt_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_coinbase (Tier B proxy data).,B,true,false,false,descriptive,usdc_svb_2023,0.07378972384445044,0.2435640870362109,0.10124421780885455,5
curve_3pool,ust_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from ust_binance to curve_3pool.,B,true,false,false,suggestive,terra_luna_2022,0.5759449392390328,0.763975423791042,0.14899263823234568,5
curve_ust_wormhole,ust_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from ust_binance to curve_ust_wormhole.,B,true,false,false,suggestive,terra_luna_2022,0.5664704881237882,0.786623736610004,0.16451367561615957,5
usdt_binance,ust_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between ust_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive,terra_luna_2022,0.4373881993310257,0.8199278717573394,0.2541109206658624,5
usdt_binance,curve_ust_wormhole,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_ust_wormhole to usdt_binance.,B,true,false,false,suggestive,terra_luna_2022,0.26219778952339834,0.7001589166653172,0.2511135618776713,5
ust_binance,curve_3pool,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to ust_binance.,B,true,false,false,suggestive,terra_luna_2022,0.23026195529992943,0.5397226522127684,0.20810952015210535,5
curve_ust_wormhole,curve_3pool,,,table_tvp_var_summary,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_ust_wormhole.,B,true,false,false,suggestive,terra_luna_2022,0.225800414599525,0.3204038304999162,0.08952353894740502,5
usdt_binance,curve_3pool,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive,terra_luna_2022,0.17102268495673836,0.3934551128896572,0.17113270001063552,5
ust_binance,curve_ust_wormhole,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_ust_wormhole to ust_binance.,B,true,false,false,suggestive,terra_luna_2022,0.13038951449375005,0.21644296418065823,0.06533065479862595,5
ust_binance,usdt_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and ust_binance (Tier B proxy data).,B,true,false,false,descriptive,terra_luna_2022,0.1239420366915466,0.35721879485493757,0.13830898835167887,5
curve_ust_wormhole,usdt_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_ust_wormhole.,B,true,false,false,suggestive,terra_luna_2022,0.12268694218667461,0.2964070731162601,0.11515309958428221,5
curve_3pool,usdt_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive,terra_luna_2022,0.09451938635949182,0.2546648962325785,0.09234398401728904,5
curve_3pool,curve_ust_wormhole,,,table_tvp_var_summary,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_ust_wormhole to curve_3pool.,B,true,false,false,suggestive,terra_luna_2022,0.09417154685853409,0.12942905710512054,0.03834787631400612,5
usdt_binance,curve_crvusd_usdt,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_crvusd_usdt to usdt_binance.,B,true,false,false,suggestive,usdt_curve_2023,0.8912800945655915,0.9848274102762509,0.076290674704296,6
curve_3pool,curve_crvusd_usdt,,,table_tvp_var_summary,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,B,true,false,false,suggestive,usdt_curve_2023,0.8665285698135072,0.9799282667162196,0.09072473045951038,6
curve_crvusd_usdt,usdt_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_crvusd_usdt.,B,true,false,false,suggestive,usdt_curve_2023,0.10807025653067213,0.21560147931943568,0.06730554230613399,6
curve_3pool,usdt_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive,usdt_curve_2023,0.09049616688861602,0.18368977626615568,0.05914355966731376,6
usdt_binance,curve_3pool,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive,usdt_curve_2023,0.05161315207091146,0.12683332102223668,0.0476091655435137,6
curve_crvusd_usdt,curve_3pool,,,table_tvp_var_summary,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,B,true,false,false,suggestive,usdt_curve_2023,0.044290280702108026,0.10422197957867886,0.03891444948258794,6
usdt_binance,curve_3pool,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive,ftx_2022,0.8717754885152197,0.9992428757981402,0.07880522364740468,23
busd_binance,curve_3pool,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,false,false,suggestive,ftx_2022,0.8681050126473636,0.9981798314853885,0.07668505450797854,23
usdt_binance,busd_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive,ftx_2022,0.1109113418782577,0.25563173822051544,0.06912509020706537,23
curve_3pool,busd_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,false,false,suggestive,ftx_2022,0.10637597543974289,0.22997178665332577,0.059623440038324385,23
curve_3pool,usdt_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive,ftx_2022,0.03211984541407149,0.1330829243474509,0.03135579781159712,23
busd_binance,usdt_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive,ftx_2022,0.025878372819277098,0.10572197136984439,0.02501256310845298,23
curve_3pool,busd_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,false,false,suggestive,busd_2023,0.7915209386657575,0.9220677590109148,0.16600608491562746,5
usdt_binance,busd_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive,busd_2023,0.700661078882,0.8663869674840159,0.12971077669175451,5
usdc_binance,busd_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive,busd_2023,0.7006610788819999,0.8663869674840157,0.1297107766917544,5
usdc_binance,usdt_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive,busd_2023,0.11593302079709136,0.19728084991303155,0.05446570845493137,5
usdt_binance,usdc_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive,busd_2023,0.1159330207970892,0.1972808499130319,0.05446570845493264,5
usdc_binance,curve_3pool,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.,B,true,false,false,suggestive,busd_2023,0.0674728795236909,0.09639626375164816,0.021010957451415135,5
usdt_binance,curve_3pool,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive,busd_2023,0.06747287952369085,0.09639626375164816,0.02101095745141517,5
curve_3pool,usdt_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive,busd_2023,0.06651471762149,0.14184804110925292,0.048435518103158555,5
curve_3pool,usdc_binance,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_binance to curve_3pool.,B,true,false,false,suggestive,busd_2023,0.06651471762148882,0.14184804110925808,0.04843551810316042,5
busd_binance,usdt_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive,busd_2023,0.0460798040822023,0.07494875688058865,0.028508509106946744,5
busd_binance,usdc_binance,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive,busd_2023,0.046079804082202115,0.0749487568805865,0.02850850910694014,5
busd_binance,curve_3pool,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,false,false,suggestive,busd_2023,0.020193996615405017,0.02490486874975198,0.003962475669225881,5
